# omega   D_eff
   0.000000000000E+00   3.033847207088E-02
   5.000000000000E-02   5.060756858998E-02
   1.000000000000E-01   7.815030992284E-02
   1.500000000000E-01   1.008161395030E-01
   2.000000000000E-01   1.178349922500E-01
   2.500000000000E-01   1.486271758991E-01
   3.000000000000E-01   1.881722233073E-01
   3.500000000000E-01   1.947950520301E-01
   4.000000000000E-01   2.146963102935E-01
   4.500000000000E-01   2.226087763123E-01
   5.000000000000E-01   2.229674463222E-01
   5.500000000000E-01   2.199084806006E-01
   6.000000000000E-01   2.080506177286E-01
   6.500000000000E-01   2.016255002113E-01
   7.000000000000E-01   1.769344267579E-01
   7.500000000000E-01   1.859057998890E-01
   8.000000000000E-01   1.428432840285E-01
   8.500000000000E-01   1.043091330030E-01
   9.000000000000E-01   7.896898371480E-02
   9.500000000000E-01   4.624156947725E-02
   1.000000000000E+00   3.287947934948E-02
