# x  y  Jx  Jy
     0     0   3.848600000000E-04   3.850200000000E-04
     0     1   3.831400000000E-04   1.280000000000E-06
     0     2   3.864600000000E-04   4.500000000000E-06
     0     3   3.874700000000E-04  -2.600000000000E-07
     0     4   3.905500000000E-04   1.180000000000E-06
     0     5   3.839300000000E-04  -3.290000000000E-06
     0     6   3.878300000000E-04   4.410000000000E-06
     0     7   3.850400000000E-04  -1.990000000000E-06
     0     8   3.822600000000E-04   5.860000000000E-06
     0     9   3.873400000000E-04   5.050000000000E-06
     0    10   3.878200000000E-04   2.050000000000E-06
     0    11   3.880400000000E-04   1.430000000000E-06
     0    12   3.957600000000E-04  -2.320000000000E-06
     0    13   3.905600000000E-04  -5.900000000000E-06
     0    14   3.880600000000E-04  -2.850000000000E-06
     0    15   3.869500000000E-04   2.280000000000E-06
     0    16   3.833200000000E-04   7.600000000000E-07
     0    17   3.873100000000E-04   4.300000000000E-06
     0    18   3.861000000000E-04   7.800000000000E-07
     0    19   3.878900000000E-04  -3.867500000000E-04

     1     0  -1.070000000000E-06   3.851900000000E-04
     1     1   7.570000000000E-06   1.150000000000E-06
     1     2   8.000000000000E-08  -7.510000000000E-06
     1     3   1.580000000000E-06   7.130000000000E-06
     1     4  -1.810000000000E-06   7.600000000000E-07
     1     5  -4.600000000000E-06  -3.820000000000E-06
     1     6   6.160000000000E-06   7.900000000000E-07
     1     7  -4.860000000000E-06  -2.950000000000E-06
     1     8   7.600000000000E-07  -1.960000000000E-06
     1     9   1.070000000000E-06  -1.700000000000E-06
     1    10   4.980000000000E-06   1.770000000000E-06
     1    11  -2.390000000000E-06  -2.260000000000E-06
     1    12  -7.200000000000E-07   9.290000000000E-06
     1    13  -5.300000000000E-06   2.640000000000E-06
     1    14   1.130000000000E-06  -2.030000000000E-06
     1    15   1.280000000000E-06  -4.920000000000E-06
     1    16   1.025000000000E-05  -5.490000000000E-06
     1    17   3.930000000000E-06  -8.790000000000E-06
     1    18   4.820000000000E-06  -1.500000000000E-07
     1    19   2.330000000000E-06  -3.925400000000E-04

     2     0  -3.120000000000E-06   3.852500000000E-04
     2     1   7.700000000000E-07   1.057000000000E-05
     2     2  -8.210000000000E-06  -3.500000000000E-07
     2     3   7.600000000000E-07   2.170000000000E-06
     2     4  -4.040000000000E-06   1.280000000000E-06
     2     5   2.980000000000E-06   6.300000000000E-07
     2     6  -2.290000000000E-06   2.000000000000E-06
     2     7   1.200000000000E-07  -1.820000000000E-06
     2     8   5.540000000000E-06  -2.490000000000E-06
     2     9   6.000000000000E-07  -4.490000000000E-06
     2    10  -9.000000000000E-08   4.350000000000E-06
     2    11  -9.560000000000E-06  -1.340000000000E-06
     2    12   1.240000000000E-06   6.090000000000E-06
     2    13  -2.400000000000E-07   6.320000000000E-06
     2    14  -6.240000000000E-06  -3.800000000000E-07
     2    15  -4.380000000000E-06   6.610000000000E-06
     2    16  -3.900000000000E-06   6.010000000000E-06
     2    17  -5.770000000000E-06  -8.700000000000E-07
     2    18   2.710000000000E-06   8.500000000000E-07
     2    19  -4.030000000000E-06  -3.894200000000E-04

     3     0  -1.110000000000E-06   3.825300000000E-04
     3     1  -4.050000000000E-06  -2.020000000000E-06
     3     2  -3.820000000000E-06   8.430000000000E-06
     3     3  -1.330000000000E-06   3.240000000000E-06
     3     4   9.590000000000E-06   1.240000000000E-06
     3     5   6.980000000000E-06  -4.170000000000E-06
     3     6  -4.750000000000E-06  -1.027000000000E-05
     3     7  -1.900000000000E-07   3.020000000000E-06
     3     8   1.430000000000E-06   3.020000000000E-06
     3     9  -2.220000000000E-06  -7.600000000000E-07
     3    10  -6.130000000000E-06   3.130000000000E-06
     3    11  -3.750000000000E-06  -7.500000000000E-07
     3    12  -6.600000000000E-07   5.030000000000E-06
     3    13  -1.860000000000E-06   6.180000000000E-06
     3    14  -7.640000000000E-06  -2.700000000000E-07
     3    15   2.060000000000E-06   6.460000000000E-06
     3    16  -1.140000000000E-06   6.730000000000E-06
     3    17  -4.470000000000E-06   5.550000000000E-06
     3    18  -7.500000000000E-07   4.240000000000E-06
     3    19  -2.900000000000E-06  -3.893500000000E-04

     4     0  -8.600000000000E-07   3.876800000000E-04
     4     1  -1.320000000000E-06  -1.019000000000E-05
     4     2   1.006000000000E-05  -4.800000000000E-06
     4     3   4.170000000000E-06  -4.150000000000E-06
     4     4   3.770000000000E-06   4.840000000000E-06
     4     5  -3.370000000000E-06   7.060000000000E-06
     4     6  -4.540000000000E-06  -5.270000000000E-06
     4     7   3.260000000000E-06  -3.340000000000E-06
     4     8   1.430000000000E-06   1.550000000000E-06
     4     9  -2.590000000000E-06  -1.980000000000E-06
     4    10  -5.600000000000E-07  -6.040000000000E-06
     4    11   3.470000000000E-06  -1.880000000000E-06
     4    12   3.600000000000E-06  -4.690000000000E-06
     4    13   6.110000000000E-06  -3.620000000000E-06
     4    14   6.000000000000E-06  -4.260000000000E-06
     4    15  -2.300000000000E-07  -7.150000000000E-06
     4    16  -3.580000000000E-06   5.300000000000E-07
     4    17  -3.090000000000E-06   5.910000000000E-06
     4    18  -2.700000000000E-07   6.790000000000E-06
     4    19   1.660000000000E-06  -3.844900000000E-04

     5     0  -1.590000000000E-06   3.865300000000E-04
     5     1  -1.560000000000E-06   7.900000000000E-07
     5     2  -3.980000000000E-06   1.460000000000E-06
     5     3  -5.680000000000E-06   3.990000000000E-06
     5     4  -1.300000000000E-07   2.790000000000E-06
     5     5   8.800000000000E-07   4.530000000000E-06
     5     6   2.210000000000E-06   2.800000000000E-07
     5     7   2.000000000000E-07  -4.000000000000E-08
     5     8   1.630000000000E-06  -2.840000000000E-06
     5     9   1.320000000000E-06  -1.690000000000E-06
     5    10  -3.860000000000E-06  -3.980000000000E-06
     5    11   4.090000000000E-06   2.270000000000E-06
     5    12  -1.270000000000E-06   6.000000000000E-08
     5    13  -9.300000000000E-07   2.010000000000E-06
     5    14   1.430000000000E-06   5.250000000000E-06
     5    15  -1.266000000000E-05  -3.940000000000E-06
     5    16   3.330000000000E-06   3.340000000000E-06
     5    17   9.230000000000E-06  -3.790000000000E-06
     5    18  -7.700000000000E-07  -3.980000000000E-06
     5    19   1.640000000000E-06  -3.840400000000E-04

     6     0  -1.700000000000E-06   3.863200000000E-04
     6     1   2.600000000000E-07   1.640000000000E-06
     6     2   1.880000000000E-06  -4.180000000000E-06
     6     3   3.110000000000E-06  -4.900000000000E-06
     6     4   6.400000000000E-07   7.100000000000E-07
     6     5  -1.360000000000E-06   2.720000000000E-06
     6     6   3.320000000000E-06   5.350000000000E-06
     6     7  -2.620000000000E-06  -8.500000000000E-07
     6     8  -5.650000000000E-06   1.230000000000E-06
     6     9  -5.590000000000E-06   2.670000000000E-06
     6    10  -5.890000000000E-06  -3.220000000000E-06
     6    11  -1.030000000000E-06   5.140000000000E-06
     6    12  -3.260000000000E-06   5.400000000000E-07
     6    13  -1.530000000000E-06  -1.210000000000E-06
     6    14  -1.410000000000E-06   2.510000000000E-06
     6    15  -2.590000000000E-06  -6.530000000000E-06
     6    16   5.250000000000E-06   1.600000000000E-06
     6    17  -3.440000000000E-06   6.790000000000E-06
     6    18  -2.990000000000E-06  -9.400000000000E-07
     6    19   3.660000000000E-06  -3.844900000000E-04

     7     0   1.730000000000E-06   3.844100000000E-04
     7     1   1.130000000000E-06  -1.930000000000E-06
     7     2   6.370000000000E-06   4.900000000000E-06
     7     3   6.050000000000E-06  -4.580000000000E-06
     7     4   7.320000000000E-06  -5.830000000000E-06
     7     5   6.860000000000E-06  -7.980000000000E-06
     7     6   2.590000000000E-06  -3.000000000000E-08
     7     7  -1.240000000000E-06   2.000000000000E-06
     7     8  -3.630000000000E-06  -6.430000000000E-06
     7     9   5.030000000000E-06   1.700000000000E-06
     7    10   4.960000000000E-06  -5.480000000000E-06
     7    11   1.600000000000E-06  -4.990000000000E-06
     7    12   7.760000000000E-06  -3.720000000000E-06
     7    13   1.910000000000E-06  -9.180000000000E-06
     7    14   6.050000000000E-06  -3.000000000000E-06
     7    15   4.200000000000E-07  -3.910000000000E-06
     7    16  -1.490000000000E-06  -3.600000000000E-07
     7    17   2.060000000000E-06  -8.200000000000E-07
     7    18  -1.600000000000E-07   1.120000000000E-06
     7    19   1.790000000000E-06  -3.823000000000E-04

     8     0   1.780000000000E-06   3.879400000000E-04
     8     1   6.040000000000E-06  -7.650000000000E-06
     8     2   8.450000000000E-06  -6.040000000000E-06
     8     3   2.530000000000E-06  -2.000000000000E-08
     8     4  -2.950000000000E-06   6.300000000000E-07
     8     5  -2.100000000000E-06  -2.890000000000E-06
     8     6  -1.740000000000E-06  -7.700000000000E-07
     8     7  -2.930000000000E-06   1.340000000000E-06
     8     8  -3.400000000000E-06  -4.910000000000E-06
     8     9   5.930000000000E-06   3.080000000000E-06
     8    10  -6.830000000000E-06   1.730000000000E-06
     8    11   1.120000000000E-06   3.940000000000E-06
     8    12  -1.310000000000E-06   4.340000000000E-06
     8    13  -3.340000000000E-06  -7.000000000000E-08
     8    14   1.170000000000E-06  -1.500000000000E-06
     8    15  -3.640000000000E-06   1.100000000000E-07
     8    16  -1.890000000000E-06  -1.000000000000E-06
     8    17   5.070000000000E-06   5.290000000000E-06
     8    18   4.690000000000E-06  -7.050000000000E-06
     8    19   6.430000000000E-06  -3.883400000000E-04

     9     0   4.340000000000E-06   3.899500000000E-04
     9     1   3.460000000000E-06   2.620000000000E-06
     9     2  -3.610000000000E-06   2.050000000000E-06
     9     3  -1.920000000000E-06   1.660000000000E-06
     9     4   2.050000000000E-06   2.780000000000E-06
     9     5  -2.250000000000E-06  -5.470000000000E-06
     9     6   1.500000000000E-06  -3.150000000000E-06
     9     7   3.700000000000E-06  -7.020000000000E-06
     9     8   1.110000000000E-06  -6.010000000000E-06
     9     9   2.260000000000E-06  -1.100000000000E-07
     9    10   2.200000000000E-07  -4.780000000000E-06
     9    11   4.390000000000E-06   1.590000000000E-06
     9    12   1.470000000000E-06   1.710000000000E-06
     9    13   0.000000000000E+00  -3.430000000000E-06
     9    14  -1.400000000000E-07   9.900000000000E-07
     9    15  -4.330000000000E-06  -4.720000000000E-06
     9    16   3.600000000000E-07  -3.290000000000E-06
     9    17   2.550000000000E-06   2.610000000000E-06
     9    18  -2.660000000000E-06   4.830000000000E-06
     9    19  -2.000000000000E-07  -3.850600000000E-04

    10     0   3.970000000000E-06   3.919600000000E-04
    10     1  -2.110000000000E-06   5.470000000000E-06
    10     2  -2.040000000000E-06   2.660000000000E-06
    10     3  -4.340000000000E-06   1.410000000000E-06
    10     4  -6.990000000000E-06   7.640000000000E-06
    10     5  -3.750000000000E-06   6.430000000000E-06
    10     6   4.190000000000E-06  -3.500000000000E-07
    10     7  -4.880000000000E-06  -2.630000000000E-06
    10     8  -2.630000000000E-06  -1.600000000000E-06
    10     9   2.000000000000E-08  -1.660000000000E-06
    10    10   1.700000000000E-07  -1.220000000000E-06
    10    11   2.760000000000E-06  -4.090000000000E-06
    10    12   5.800000000000E-07  -7.500000000000E-07
    10    13  -3.500000000000E-06  -1.540000000000E-06
    10    14   2.170000000000E-06   3.600000000000E-06
    10    15  -8.800000000000E-07  -5.320000000000E-06
    10    16   1.000000000000E-05  -3.460000000000E-06
    10    17   5.710000000000E-06  -1.150000000000E-05
    10    18   2.920000000000E-06  -6.150000000000E-06
    10    19   1.590000000000E-06  -3.905200000000E-04

    11     0   4.260000000000E-06   3.887700000000E-04
