# TCRW Fig 3(b)  |J_Dr|_wall / |J_ω|_wall vs D_r  (ω = 1, OBC)
# T_floor =    100000000   N_burn_floor =     10000000
# T_use = max(T_floor,  100.0*max(L^2,1/D_r)/D_r);  N_burn_use = max(N_burn_floor,   10.0*max(L^2,1/D_r)/D_r)
# seed    = 20260421
# columns: L   D_r   ratio   |J_Dr|_wall   |J_ω|_wall   Jx_w_Dr   Jy_w_Dr   Jx_w_om   Jy_w_om
  4   1.00000E-04   8.37113E-01   1.97464E+05   2.35887E+05          62468        -187323         166796         166799
  4   1.46780E-04   7.18391E-01   1.34530E+05   1.87265E+05          42560        -127620         132417         132416
  4   2.15443E-04   7.38409E-01   9.14455E+04   1.23841E+05          28941         -86745          87571          87567
  4   3.16228E-04   7.64709E-01   6.23895E+04   8.15860E+04          19747         -59182          57690          57690
  4   4.64159E-04   6.45919E-01   4.24726E+04   6.57553E+04          13458         -40284          46495          46497
  4   6.81292E-04   8.15469E-01   2.89494E+04   3.55003E+04           9181         -27455          25101          25104
  4   1.00000E-03   9.49958E-01   1.96425E+04   2.06772E+04           6228         -18629          14620          14622
  4   1.46780E-03   9.04054E-01   2.88410E+04   3.19018E+04           9171         -27344          22558          22558
  4   2.15443E-03   7.33935E-01   4.21466E+04   5.74256E+04          13426         -39951          40609          40603
  4   3.16228E-03   7.82469E-01   6.18849E+04   7.90892E+04          19767         -58643          55928          55921
  4   4.64159E-03   6.95860E-01   8.98961E+04   1.29187E+05          28897         -85125          91355          91343
  4   6.81292E-03   6.92377E-01   1.30424E+05   1.88372E+05          42292        -123377         133203         133195
  4   1.00000E-02   7.71966E-01   1.88818E+05   2.44594E+05          61858        -178398         172942         172966
  4   1.46780E-02   7.54818E-01   2.71675E+05   3.59921E+05          90455        -256174         254537         254468
  4   2.15443E-02   7.61163E-01   3.86508E+05   5.07786E+05         131684        -363384         359123         358995
  4   3.16228E-02   7.52705E-01   5.42753E+05   7.21070E+05         191412        -507880         509842         509905
  4   4.64159E-02   7.70123E-01   7.48377E+05   9.71762E+05         276665        -695359         687108         687171
  4   6.81292E-02   7.72510E-01   1.00343E+06   1.29892E+06         396682        -921691         918616         918335
  4   1.00000E-01   7.85404E-01   1.29764E+06   1.65220E+06         562565       -1169360        1168312        1168253
  4   1.46780E-01   8.12171E-01   1.59593E+06   1.96502E+06         782430       -1390968        1389469        1389482
  4   2.15443E-01   8.62599E-01   1.84298E+06   2.13655E+06        1055706       -1510655        1510728        1510808
  4   3.16228E-01   9.75911E-01   1.96259E+06   2.01104E+06        1351253       -1423339        1421981        1422056
  4   4.64159E-01   1.26668E+00   1.87254E+06   1.47830E+06        1555056       -1043175        1045157        1045478
  4   6.81292E-01   2.36782E+00   1.42318E+06   6.01053E+05        1357179        -428390         424680         425337
  4   1.00000E+00   1.00000E+15   0.00000E+00   0.00000E+00              0              0              0              0
  9   1.00000E-04   4.76873E-01   2.23506E+05   4.68692E+05          27757        -221776         331415         331415
  9   1.46780E-04   6.45350E-01   1.52677E+05   2.36580E+05          18958        -151495         167288         167286
  9   2.15443E-04   7.93352E-01   1.03691E+05   1.30700E+05          12882        -102888          92419          92419
  9   3.16228E-04   5.85688E-01   7.05706E+04   1.20492E+05           8774         -70023          85201          85200
  9   4.64159E-04   5.46868E-01   4.79582E+04   8.76961E+04           5979         -47584          62010          62011
  9   6.81292E-04   7.14046E-01   3.25150E+04   4.55363E+04           4056         -32261          32198          32200
  9   1.00000E-03   6.10697E-01   2.22594E+04   3.64492E+04           2797         -22083          25773          25774
  9   1.46780E-03   9.89738E-01   3.24339E+04   3.27702E+04           4066         -32178          23172          23172
  9   2.15443E-03   7.93879E-01   4.71843E+04   5.94352E+04           5955         -46807          42029          42025
  9   3.16228E-03   6.37832E-01   6.86247E+04   1.07591E+05           8762         -68063          76078          76078
  9   4.64159E-03   6.74620E-01   9.97356E+04   1.47840E+05          12891         -98899         104539         104538
  9   6.81292E-03   6.94353E-01   1.42921E+05   2.05834E+05          18818        -141677         145534         145559
  9   1.00000E-02   7.09498E-01   2.03460E+05   2.86766E+05          27461        -201598         202781         202767
  9   1.46780E-02   7.24799E-01   2.85807E+05   3.94327E+05          40017        -282992         278814         278848
  9   2.15443E-02   7.05981E-01   3.95239E+05   5.59843E+05          58597        -390871         395847         395891
  9   3.16228E-02   7.20696E-01   5.32847E+05   7.39351E+05          84936        -526034         522836         522764
  9   4.64159E-02   7.19213E-01   6.95527E+05   9.67068E+05         123010        -684563         683785         683855
  9   6.81292E-02   7.24605E-01   8.70286E+05   1.20105E+06         176502        -852200         849307         849232
  9   1.00000E-01   7.24235E-01   1.02822E+06   1.41974E+06         250354        -997279        1003638        1004174
  9   1.46780E-01   7.39279E-01   1.14508E+06   1.54892E+06         347757       -1090999        1095259        1095242
  9   2.15443E-01   7.71462E-01   1.18026E+06   1.52991E+06         469632       -1082807        1081770        1081844
  9   3.16228E-01   8.44007E-01   1.10796E+06   1.31274E+06         599721        -931618         928313         928180
  9   4.64159E-01   1.05020E+00   9.35244E+05   8.90535E+05         693478        -627510         629545         629861
  9   6.81292E-01   1.92509E+00   6.49919E+05   3.37605E+05         604072        -239773         238719         238726
  9   1.00000E+00   1.00000E+15   0.00000E+00   0.00000E+00              0              0              0              0
 19   1.00000E-04   8.72489E-01   2.36511E+05   2.71076E+05          13137        -236146         191681         191679
 19   1.46780E-04   1.32950E+00   1.61248E+05   1.21285E+05           8963        -160999          85761          85762
 19   2.15443E-04   9.06272E-01   1.09806E+05   1.21163E+05           6116        -109636          85676          85674
 19   3.16228E-04   6.25455E-01   7.44418E+04   1.19020E+05           4150         -74326          84159          84161
 19   4.64159E-04   8.07264E-01   5.07358E+04   6.28491E+04           2844         -50656          44439          44443
 19   6.81292E-04   6.08508E-01   3.45106E+04   5.67135E+04           1941         -34456          40103          40102
 19   1.00000E-03   8.93666E-01   2.32697E+04   2.60385E+04           1307         -23233          18413          18411
 19   1.46780E-03   6.16284E-01   3.41127E+04   5.53523E+04           1949         -34057          39139          39141
 19   2.15443E-03   6.46801E-01   4.91974E+04   7.60628E+04           2847         -49115          53786          53783
 19   3.16228E-03   7.59172E-01   7.04506E+04   9.27993E+04           4138         -70329          65618          65620
 19   4.64159E-03   7.48810E-01   1.01015E+05   1.34900E+05           6091        -100831          95388          95390
 19   6.81292E-03   7.06156E-01   1.41960E+05   2.01033E+05           8903        -141681         142148         142155
 19   1.00000E-02   6.98367E-01   1.95833E+05   2.80415E+05          12922        -195406         198297         198270
 19   1.46780E-02   7.26048E-01   2.67744E+05   3.68769E+05          19000        -267069         260765         260753
 19   2.15443E-02   7.11871E-01   3.53042E+05   4.95935E+05          27767        -351948         350682         350676
 19   3.16228E-02   7.14157E-01   4.51371E+05   6.32034E+05          40465        -449554         446895         446936
 19   4.64159E-02   7.12102E-01   5.48587E+05   7.70377E+05          58097        -545502         544750         544728
 19   6.81292E-02   7.10201E-01   6.33777E+05   8.92391E+05          83337        -628274         631034         630997
 19   1.00000E-01   7.25315E-01   6.94698E+05   9.57787E+05         117713        -684652         677208         677307
 19   1.46780E-01   7.30645E-01   7.14487E+05   9.77885E+05         164540        -695283         691330         691608
 19   2.15443E-01   7.52237E-01   6.83577E+05   9.08726E+05         222282        -646427         642757         642375
 19   3.16228E-01   8.08552E-01   5.98450E+05   7.40150E+05         285774        -525809         523108         523622
 19   4.64159E-01   9.82848E-01   4.67739E+05   4.75902E+05         325724        -335684         336465         336562
 19   6.81292E-01   1.78396E+00   3.09522E+05   1.73503E+05         284235        -122534         122701         122669
 19   1.00000E+00   1.00000E+15   0.00000E+00   0.00000E+00              0              0              0              0
 49   1.00000E-04   9.54134E-01   2.43815E+05   2.55536E+05           5102        -243762         180691         180691
 49   1.46780E-04   8.21854E-01   1.65432E+05   2.01291E+05           3477        -165395         142334         142334
