# TCRW Fig 3(b)  |J_Dr|_wall / |J_ω|_wall vs D_r  (ω = 1, OBC)
# T_floor =    100000000   N_burn_floor =     10000000
# T_use = max(T_floor,  100.0*max(L^2,1/D_r)/D_r);  N_burn_use = max(N_burn_floor,   10.0*max(L^2,1/D_r)/D_r)
# seed    = 20260421
# columns: L   D_r   ratio   |J_Dr|_wall   |J_ω|_wall   Jx_w_Dr   Jy_w_Dr   Jx_w_om   Jy_w_om
  4   1.00000E-04   9.11269E-01   2.05962E+05   2.26017E+05          49975        -199807         159817         159819
  4   1.46639E-04   5.28088E-01   1.40399E+05   2.65862E+05          34082        -136199         187992         187994
  4   2.15030E-04   5.86341E-01   9.55472E+04   1.62955E+05          23203         -92687         115224         115229
  4   3.15319E-04   1.07161E+00   6.52554E+04   6.08946E+04          15847         -63302          43059          43059
  4   4.62381E-04   9.09703E-01   4.44548E+04   4.88674E+04          10804         -43122          34555          34554
  4   6.78032E-04   8.18210E-01   3.03502E+04   3.70934E+04           7385         -29438          26227          26231
  4   9.94260E-04   1.01203E+00   2.06941E+04   2.04481E+04           5032         -20073          14459          14459
  4   1.45797E-03   6.40363E-01   2.97774E+04   4.65008E+04           7275         -28875          32880          32882
  4   2.13796E-03   8.06144E-01   4.34967E+04   5.39565E+04          10649         -42173          38153          38153
  4   3.13509E-03   7.79293E-01   6.38753E+04   8.19657E+04          15695         -61917          57959          57958
  4   4.59727E-03   7.17227E-01   9.24063E+04   1.28838E+05          22919         -89519          91105          91100
  4   6.74140E-03   7.39793E-01   1.33516E+05   1.80477E+05          33429        -129263         127633         127600
  4   9.88553E-03   7.27999E-01   1.92524E+05   2.64457E+05          48959        -186195         187000         186998
  4   1.44961E-02   7.07408E-01   2.75567E+05   3.89545E+05          71541        -266119         275434         275466
  4   2.12569E-02   7.34631E-01   3.89309E+05   5.29938E+05         104028        -375153         374798         374648
  4   3.11709E-02   7.30469E-01   5.41759E+05   7.41659E+05         151140        -520249         524362         524502
  4   4.57088E-02   7.36737E-01   7.36172E+05   9.99233E+05         218107        -703121         706527         706602
  4   6.70270E-02   7.51448E-01   9.72754E+05   1.29451E+06         312774        -921099         915400         915308
  4   9.82879E-02   7.56244E-01   1.22964E+06   1.62598E+06         443561       -1146850        1149719        1149767
  4   1.44129E-01   7.79222E-01   1.47416E+06   1.89184E+06         616517       -1339049        1337778        1337682
  4   2.11349E-01   8.17262E-01   1.65026E+06   2.01926E+06         833186       -1424491        1427797        1427867
  4   3.09920E-01   9.09479E-01   1.69561E+06   1.86438E+06        1069229       -1316001        1317803        1318829
  4   4.54465E-01   1.15259E+00   1.56588E+06   1.35857E+06        1238012        -958810         960853         960461
  4   6.66423E-01   2.06593E+00   1.18154E+06   5.71915E+05        1109973        -404960         404800         404009
  4   9.77237E-01   3.78606E+01   1.11132E+05   2.93528E+03         111109          -2238           2091           2060
  9   1.00000E-04   1.05191E+00   2.26033E+05   2.14880E+05          24978        -224649         151941         151945
  9   1.46639E-04   6.43522E-01   1.54367E+05   2.39878E+05          17071        -153420         169621         169618
  9   2.15030E-04   8.03954E-01   1.05074E+05   1.30697E+05          11626        -104429          92418          92415
  9   3.15319E-04   9.33594E-01   7.15610E+04   7.66511E+04           7923         -71121          54199          54202
  9   4.62381E-04   4.37445E-01   4.86694E+04   1.11258E+05           5408         -48368          78670          78673
  9   6.78032E-04   8.95950E-01   3.30780E+04   3.69195E+04           3677         -32873          26106          26106
  9   9.94260E-04   9.71824E-01   2.25863E+04   2.32412E+04           2514         -22446          16434          16434
  9   1.45797E-03   6.21837E-01   3.22810E+04   5.19122E+04           3623         -32077          36708          36707
  9   2.13796E-03   7.02563E-01   4.74441E+04   6.75301E+04           5337         -47143          47754          47748
  9   3.13509E-03   6.70639E-01   6.84958E+04   1.02135E+05           7811         -68049          72220          72221
  9   4.59727E-03   6.91649E-01   9.93365E+04   1.43623E+05          11479         -98671         101555         101558
  9   6.74140E-03   6.72274E-01   1.41328E+05   2.10224E+05          16689        -140339         148653         148648
  9   9.88553E-03   7.24781E-01   2.02003E+05   2.78710E+05          24469        -200516         197075         197080
  9   1.44961E-02   7.07895E-01   2.82775E+05   3.99459E+05          35878        -280490         282446         282475
  9   2.12569E-02   7.14551E-01   3.88989E+05   5.44383E+05          52118        -385482         384913         384961
  9   3.11709E-02   7.21513E-01   5.20456E+05   7.21339E+05          75456        -514957         510096         510032
  9   4.57088E-02   7.19836E-01   6.72610E+05   9.34394E+05         108813        -663750         660755         660677
  9   6.70270E-02   7.19068E-01   8.34853E+05   1.16102E+06         156655        -820024         820893         821039
  9   9.82879E-02   7.24560E-01   9.79263E+05   1.35153E+06         221360        -953916         955723         955625
  9   1.44129E-01   7.37209E-01   1.07728E+06   1.46129E+06         308110       -1032277        1033231        1033348
  9   2.11349E-01   7.61319E-01   1.10000E+06   1.44486E+06         417042       -1017879        1021593        1021750
  9   3.09920E-01   8.30311E-01   1.02736E+06   1.23731E+06         534710        -877238         875098         874729
  9   4.54465E-01   1.02596E+00   8.65479E+05   8.43582E+05         621605        -602213         596268         596737
  9   6.66423E-01   1.78911E+00   6.03395E+05   3.37260E+05         554191        -238658         239223         237733
  9   9.77237E-01   3.37744E+01   5.49547E+04   1.62711E+03          54943          -1132           1141           1160
 19   1.00000E-04   7.82235E-01   2.36963E+05   3.02930E+05          12477        -236634         214204         214204
 19   1.46639E-04   6.69461E-01   1.61853E+05   2.41766E+05           8534        -161628         170953         170956
 19   2.15030E-04   5.62364E-01   1.10382E+05   1.96282E+05           5830        -110228         138793         138792
 19   3.15319E-04   5.57961E-01   7.47688E+04   1.34004E+05           3958         -74664          94755          94755
 19   4.62381E-04   9.56752E-01   5.11318E+04   5.34431E+04           2709         -51060          37790          37790
 19   6.78032E-04   7.76395E-01   3.45960E+04   4.45597E+04           1840         -34547          31509          31508
 19   9.94260E-04   5.32772E-01   2.35808E+04   4.42606E+04           1263         -23547          31297          31297
 19   1.45797E-03   7.12233E-01   3.36376E+04   4.72284E+04           1826         -33588          33395          33396
 19   2.13796E-03   6.75671E-01   4.89004E+04   7.23731E+04           2678         -48827          51179          51172
 19   3.13509E-03   7.73189E-01   6.94852E+04   8.98683E+04           3876         -69377          63546          63547
 19   4.59727E-03   7.70781E-01   9.99950E+04   1.29732E+05           5708         -99832          91734          91735
 19   6.74140E-03   6.87617E-01   1.39857E+05   2.03394E+05           8389        -139605         143822         143820
 19   9.88553E-03   7.20217E-01   1.93988E+05   2.69347E+05          12189        -193605         190467         190447
 19   1.44961E-02   7.11706E-01   2.62126E+05   3.68306E+05          17851        -261517         260423         260440
 19   2.12569E-02   7.00419E-01   3.43625E+05   4.90600E+05          25978        -342642         346914         346899
 19   3.11709E-02   7.06437E-01   4.37433E+05   6.19210E+05          37745        -435801         437821         437874
 19   4.57088E-02   7.18551E-01   5.33474E+05   7.42430E+05          54379        -530695         525035         524920
 19   6.70270E-02   7.16711E-01   6.11303E+05   8.52928E+05          77632        -606354         603178         603045
 19   9.82879E-02   7.17906E-01   6.71698E+05   9.35635E+05         111214        -662427         661565         661623
 19   1.44129E-01   7.25787E-01   6.87321E+05   9.47001E+05         153582        -669942         669816         669445
 19   2.11349E-01   7.42692E-01   6.57440E+05   8.85212E+05         208921        -623361         626068         625811
 19   3.09920E-01   7.98701E-01   5.72387E+05   7.16647E+05         266158        -506741         506649         506843
 19   4.54465E-01   9.65860E-01   4.55476E+05   4.71575E+05         310218        -333501         333648         333260
 19   6.66423E-01   1.68771E+00   3.05627E+05   1.81090E+05         276679        -129832         128039         128061
 19   9.77237E-01   3.15359E+01   2.73796E+04   8.68203E+02          27378           -292            636            591
 49   1.00000E-04   1.34698E+00   2.44441E+05   1.81474E+05           4999        -244390         128322         128321
 49   1.46639E-04   5.61142E-01   1.65456E+05   2.94856E+05           3399        -165421         208494         208495
 49   2.15030E-04   1.66614E+00   1.12079E+05   6.72685E+04           2304        -112055          47566          47566
 49   3.15319E-04   5.09432E-01   7.64724E+04   1.50113E+05           1586         -76456         106146         106146
 49   4.62381E-04   9.71198E-01   6.03762E+04   6.21667E+04           1263         -60363          43959          43958
 49   6.78032E-04   6.32275E-01   5.81990E+04   9.20469E+04           1229         -58186          65087          65087
 49   9.94260E-04   6.88818E-01   5.78934E+04   8.40474E+04           1246         -57880          59431          59430
 49   1.45797E-03   4.75825E-01   5.68929E+04   1.19567E+05           1259         -56879          84547          84546
 49   2.13796E-03   8.44070E-01   5.37264E+04   6.36516E+04           1202         -53713          45007          45010
 49   3.13509E-03   6.41731E-01   6.53101E+04   1.01772E+05           1580         -65291          71963          71964
 49   4.59727E-03   7.50804E-01   9.17653E+04   1.22223E+05           2318         -91736          86425          86424
 49   6.74140E-03   7.17780E-01   1.25498E+05   1.74841E+05           3419        -125451         123637         123626
 49   9.88553E-03   7.27592E-01   1.56356E+05   2.14895E+05           4766        -156283         151952         151955
 49   1.44961E-02   6.95967E-01   2.02097E+05   2.90383E+05           7139        -201971         205342         205322
 49   2.12569E-02   6.95369E-01   2.42640E+05   3.48937E+05          10394        -242417         246736         246735
 49   3.11709E-02   7.06071E-01   2.77670E+05   3.93260E+05          14950        -277267         278051         278103
 49   4.57088E-02   7.16345E-01   3.13750E+05   4.37988E+05          21537        -313010         309726         309682
 49   6.70270E-02   7.17351E-01   3.35608E+05   4.67843E+05          31086        -334165         330845         330785
 49   9.82879E-02   7.20667E-01   3.40826E+05   4.72931E+05          44413        -337920         334423         334403
 49   1.44129E-01   7.27898E-01   3.26982E+05   4.49214E+05          61107        -321221         317614         317670
 49   2.11349E-01   7.45351E-01   3.00225E+05   4.02797E+05          83885        -288268         284829         284812
 49   3.09920E-01   7.90544E-01   2.47420E+05   3.12974E+05         106522        -223315         221302         221310
 49   4.54465E-01   9.37246E-01   1.90583E+05   2.03344E+05         125202        -143689         143722         143850
 49   6.66423E-01   1.63102E+00   1.22669E+05   7.52101E+04         110440         -53392          53088          53275
 49   9.77237E-01   2.92463E+01   1.12990E+04   3.86339E+02          11292           -398            283            263
