# TCRW Fig 3(g)  |J_Dr|_wall / |J_ω|_wall vs ω  (D_r = 10^-3, OBC)
# D_r_fixed =  1.0000E-03
# T_floor =    100000000   N_burn_floor =     10000000
# T_use = max(T_floor,  100.0*max(L^2,1/D_r)/D_r);  N_burn_use = max(N_burn_floor,   10.0*max(L^2,1/D_r)/D_r)
# seed    = 20260422
# columns: L   ω   ratio   |J_Dr|_wall   |J_ω|_wall   Jx_w_Dr   Jy_w_Dr   Jx_w_om   Jy_w_om
  9   0.0000   7.94589E-01   2.23277E+04   2.80997E+04           2494          22188          19870         -19869
  9   0.0500   6.68951E-01   2.01676E+04   3.01480E+04           2508          20011          22434         -20140
  9   0.1000   6.36966E-01   1.83932E+04   2.88763E+04           2511          18221          22518         -18077
  9   0.1500   5.75303E-01   1.56580E+04   2.72170E+04           2501          15457          22290         -15618
  9   0.2000   5.29521E-01   1.37816E+04   2.60266E+04           2489          13555          22399         -13254
  9   0.2500   4.55378E-01   1.14701E+04   2.51881E+04           2415          11213          22566         -11190
  9   0.3000   3.88196E-01   9.32246E+03   2.40148E+04           2525           8974          22329          -8839
  9   0.3500   3.22123E-01   7.61688E+03   2.36459E+04           2565           7172          22599          -6958
  9   0.4000   2.22946E-01   5.12128E+03   2.29709E+04           2533           4451          22516          -4549
  9   0.4500   1.42725E-01   3.13590E+03   2.19716E+04           2463           1941          21881          -1993
  9   0.5000   1.05932E-01   2.34735E+03   2.21591E+04           2345            105          22159             53
  9   0.5500   1.51861E-01   3.43215E+03   2.26006E+04           2492          -2360          22498           2151
  9   0.6000   2.37276E-01   5.41009E+03   2.28008E+04           2562          -4765          22341           4556
  9   0.6500   3.03622E-01   7.13168E+03   2.34886E+04           2449          -6698          22474           6829
  9   0.7000   3.89829E-01   9.16003E+03   2.34975E+04           2515          -8808          21830           8694
  9   0.7500   4.59843E-01   1.13915E+04   2.47725E+04           2543         -11104          22172          11049
  9   0.8000   5.16777E-01   1.35875E+04   2.62928E+04           2427         -13369          22527          13559
  9   0.8500   5.79337E-01   1.57930E+04   2.72605E+04           2518         -15591          22334          15631
  9   0.9000   6.46458E-01   1.81474E+04   2.80721E+04           2452         -17981          21976          17467
  9   0.9500   6.80353E-01   2.01364E+04   2.95970E+04           2505         -19980          21996          19803
  9   1.0000   6.03049E-01   2.21747E+04   3.67710E+04           2485         -22035          26002          26000
 19   0.0000   9.96156E-01   2.32455E+04   2.33352E+04           1248          23212          16501         -16500
 19   0.0500   6.74316E-01   2.09848E+04   3.11201E+04           1225          20949          23128         -20822
 19   0.1000   6.30066E-01   1.84895E+04   2.93454E+04           1177          18452          22973         -18259
 19   0.1500   5.80037E-01   1.62220E+04   2.79672E+04           1221          16176          22904         -16049
