# n1  P_kmc  P_buggy_theory  P_corrected_theory
0 1.7798499999999999e-03 1.7489770895494981e-03 1.7819968444334274e-03
1 1.7553000000000000e-03 1.7266246683099937e-03 1.7534967353548790e-03
2 1.6591700000000000e-03 1.6617159226431713e-03 1.6708532066940787e-03
3 1.5375700000000000e-03 1.5603150491966557e-03 1.5421618509202535e-03
4 1.3826600000000000e-03 1.4313582127397351e-03 1.3794403277036427e-03
5 1.1953100000000000e-03 1.2852159341045972e-03 1.1967637126752578e-03
6 1.0079700000000000e-03 1.1322120625585298e-03 1.0082533763543136e-03
7 8.2677000000000000e-04 9.8142355956480003e-04 8.2632257868280891e-04
8 6.6189000000000005e-04 8.3996727728265425e-04 6.6048270076780294e-04
9 5.1309000000000001e-04 7.1281778424215421e-04 5.1684900246507610e-04
10 3.9932999999999999e-04 6.0305299715767964e-04 3.9830765940017398e-04
11 3.0787000000000002e-04 5.1233829127966292e-04 3.0516925436905169e-04
12 2.3863000000000001e-04 4.4145189123376581e-04 2.3607058469127967e-04
13 1.8789999999999999e-04 3.9070983953886702e-04 1.8889940336696556e-04
14 1.6291999999999999e-04 3.6023247430235481e-04 1.6158162573196133e-04
15 1.5190000000000001e-04 3.5006851291181614e-04 1.5265073145135388e-04
16 1.6040000000000000e-04 3.6023247430235368e-04 1.6158162573196003e-04
17 1.8902000000000000e-04 3.9070983953886577e-04 1.8889940336696461e-04
18 2.3777999999999999e-04 4.4145189123376456e-04 2.3607058469127872e-04
19 3.0503000000000003e-04 5.1233829127966270e-04 3.0516925436905223e-04
20 4.0065000000000001e-04 6.0305299715768148e-04 3.9830765940017729e-04
21 5.1511000000000005e-04 7.1281778424214640e-04 5.1684900246506895e-04
22 6.6584999999999995e-04 8.3996727728264829e-04 6.6048270076779828e-04
23 8.2830999999999996e-04 9.8142355956479591e-04 8.2632257868280685e-04
24 1.0031800000000000e-03 1.1322120625585285e-03 1.0082533763543155e-03
25 1.1996999999999999e-03 1.2852159341045972e-03 1.1967637126752612e-03
26 1.3852000000000001e-03 1.4313582127397305e-03 1.3794403277036414e-03
27 1.5394300000000001e-03 1.5603150491966531e-03 1.5421618509202531e-03
28 1.6697200000000000e-03 1.6617159226431691e-03 1.6708532066940774e-03
29 1.7524500000000000e-03 1.7266246683099924e-03 1.7534967353548781e-03
