# x  P_kmc  P_buggy_theory  P_corrected_theory
# rectangular cross-section y=15
0 1.7798499999999999e-03 1.7489770895494983e-03 1.7819968444334274e-03
2 1.7553000000000000e-03 1.7266246683099939e-03 1.7534967353548781e-03
4 1.6591700000000000e-03 1.6617159226431713e-03 1.6708532066940791e-03
6 1.5375700000000000e-03 1.5603150491966555e-03 1.5421618509202535e-03
8 1.3826600000000000e-03 1.4313582127397349e-03 1.3794403277036437e-03
10 1.1953100000000000e-03 1.2852159341045968e-03 1.1967637126752589e-03
12 1.0079700000000000e-03 1.1322120625585294e-03 1.0082533763543147e-03
14 8.2677000000000000e-04 9.8142355956479937e-04 8.2632257868281000e-04
16 6.6189000000000005e-04 8.3996727728265360e-04 6.6048270076780413e-04
18 5.1309000000000001e-04 7.1281778424215367e-04 5.1684900246507762e-04
20 3.9932999999999999e-04 6.0305299715767845e-04 3.9830765940017539e-04
22 3.0787000000000002e-04 5.1233829127966151e-04 3.0516925436905326e-04
24 2.3863000000000001e-04 4.4145189123376462e-04 2.3607058469128078e-04
26 1.8789999999999999e-04 3.9070983953886539e-04 1.8889940336696691e-04
28 1.6291999999999999e-04 3.6023247430235368e-04 1.6158162573196271e-04
30 1.5190000000000001e-04 3.5006851291181462e-04 1.5265073145135508e-04
32 1.6040000000000000e-04 3.6023247430235243e-04 1.6158162573196071e-04
34 1.8902000000000000e-04 3.9070983953886452e-04 1.8889940336696545e-04
36 2.3777999999999999e-04 4.4145189123376364e-04 2.3607058469127937e-04
38 3.0503000000000003e-04 5.1233829127966194e-04 3.0516925436905305e-04
40 4.0065000000000001e-04 6.0305299715768083e-04 3.9830765940017751e-04
42 5.1511000000000005e-04 7.1281778424214630e-04 5.1684900246506895e-04
44 6.6584999999999995e-04 8.3996727728264840e-04 6.6048270076779774e-04
46 8.2830999999999996e-04 9.8142355956479634e-04 8.2632257868280642e-04
48 1.0031800000000000e-03 1.1322120625585292e-03 1.0082533763543147e-03
50 1.1996999999999999e-03 1.2852159341045976e-03 1.1967637126752604e-03
52 1.3852000000000001e-03 1.4313582127397314e-03 1.3794403277036405e-03
54 1.5394300000000001e-03 1.5603150491966531e-03 1.5421618509202520e-03
56 1.6697200000000000e-03 1.6617159226431687e-03 1.6708532066940769e-03
58 1.7524500000000000e-03 1.7266246683099919e-03 1.7534967353548773e-03
