# X  Y  P
# X=2*n1+n2, Y=sqrt(3)*n2, P=P[n2,n1]
0 0 1.7798499999999999e-03
2 0 1.7665999999999999e-03
4 0 1.6959799999999999e-03
6 0 1.6225700000000000e-03
8 0 1.5139900000000000e-03
10 0 1.4238000000000000e-03
12 0 1.3570600000000000e-03
14 0 1.3088300000000000e-03
16 0 1.3129900000000000e-03
18 0 1.3498600000000000e-03
20 0 1.4283500000000001e-03
22 0 1.5199000000000000e-03
24 0 1.6164599999999999e-03
26 0 1.7015699999999999e-03
28 0 1.7612400000000001e-03
30 0 1.7829700000000000e-03
32 0 1.7652300000000000e-03
34 0 1.7065699999999999e-03
36 0 1.6156600000000001e-03
38 0 1.5172700000000000e-03
40 0 1.4227199999999999e-03
42 0 1.3457199999999999e-03
44 0 1.3094400000000000e-03
46 0 1.3127900000000001e-03
48 0 1.3503300000000001e-03
50 0 1.4270900000000000e-03
52 0 1.5113900000000000e-03
54 0 1.6195400000000000e-03
56 0 1.7029700000000000e-03
58 0 1.7482600000000000e-03

1 1.73205080757 1.7565899999999999e-03
3 1.73205080757 1.7305800000000000e-03
5 1.73205080757 1.6609699999999999e-03
7 1.73205080757 1.5751900000000000e-03
9 1.73205080757 1.4854499999999999e-03
11 1.73205080757 1.4069600000000001e-03
13 1.73205080757 1.3512600000000000e-03
15 1.73205080757 1.3291500000000001e-03
17 1.73205080757 1.3462700000000001e-03
19 1.73205080757 1.4025800000000001e-03
21 1.73205080757 1.4779900000000000e-03
23 1.73205080757 1.5785599999999999e-03
25 1.73205080757 1.6664000000000000e-03
27 1.73205080757 1.7255000000000000e-03
29 1.73205080757 1.7603100000000000e-03
31 1.73205080757 1.7508300000000001e-03
33 1.73205080757 1.7118000000000001e-03
35 1.73205080757 1.6236700000000000e-03
37 1.73205080757 1.5290900000000001e-03
39 1.73205080757 1.4329900000000001e-03
41 1.73205080757 1.3363500000000000e-03
43 1.73205080757 1.2739400000000001e-03
45 1.73205080757 1.2564600000000000e-03
47 1.73205080757 1.2824200000000000e-03
49 1.73205080757 1.3400500000000000e-03
51 1.73205080757 1.4225900000000001e-03
53 1.73205080757 1.5181900000000000e-03
55 1.73205080757 1.6318900000000000e-03
57 1.73205080757 1.6986799999999999e-03
59 1.73205080757 1.7520400000000001e-03

2 3.46410161514 1.6938999999999999e-03
4 3.46410161514 1.6677100000000000e-03
6 3.46410161514 1.5948399999999999e-03
8 3.46410161514 1.5169900000000000e-03
10 3.46410161514 1.4421300000000000e-03
12 3.46410161514 1.3784299999999999e-03
14 3.46410161514 1.3457600000000001e-03
16 3.46410161514 1.3382699999999999e-03
