# X  Y  P
# X=2*n1+n2, Y=sqrt(3)*n2, P=P[n2,n1]
0 0 1.7819968444334282e-03
2 0 1.7612630654486212e-03
4 0 1.7027168825038963e-03
6 0 1.6166453486646062e-03
8 0 1.5180802172252543e-03
10 0 1.4241000814888690e-03
12 0 1.3508536734907737e-03
14 0 1.3108346420775462e-03
16 0 1.3108346420775451e-03
18 0 1.3508536734907792e-03
20 0 1.4241000814888751e-03
22 0 1.5180802172252603e-03
24 0 1.6166453486646068e-03
26 0 1.7027168825038922e-03
28 0 1.7612630654486167e-03
30 0 1.7819968444334276e-03
32 0 1.7612630654486199e-03
34 0 1.7027168825038963e-03
36 0 1.6166453486646053e-03
38 0 1.5180802172252582e-03
40 0 1.4241000814888727e-03
42 0 1.3508536734907785e-03
44 0 1.3108346420775425e-03
46 0 1.3108346420775460e-03
48 0 1.3508536734907811e-03
50 0 1.4241000814888727e-03
52 0 1.5180802172252597e-03
54 0 1.6166453486646073e-03
56 0 1.7027168825038948e-03
58 0 1.7612630654486199e-03

1 1.73205080757 1.7612630654486206e-03
3 1.73205080757 1.7290344123983125e-03
5 1.73205080757 1.6634919501402252e-03
7 1.73205080757 1.5770544785003232e-03
9 1.73205080757 1.4855793103101752e-03
11 1.73205080757 1.4055191614444136e-03
13 1.73205080757 1.3510716290031238e-03
15 1.73205080757 1.3317997435725716e-03
17 1.73205080757 1.3510716290031310e-03
19 1.73205080757 1.4055191614444178e-03
21 1.73205080757 1.4855793103101787e-03
23 1.73205080757 1.5770544785003256e-03
25 1.73205080757 1.6634919501402213e-03
27 1.73205080757 1.7290344123983110e-03
29 1.73205080757 1.7612630654486189e-03
31 1.73205080757 1.7534967353548788e-03
33 1.73205080757 1.7060738065560058e-03
35 1.73205080757 1.6263379733738057e-03
37 1.73205080757 1.5273280840353853e-03
39 1.73205080757 1.4254518890571646e-03
41 1.73205080757 1.3376182213985922e-03
43 1.73205080757 1.2783658084374104e-03
45 1.73205080757 1.2574685269209007e-03
47 1.73205080757 1.2783658084374130e-03
49 1.73205080757 1.3376182213985942e-03
51 1.73205080757 1.4254518890571646e-03
53 1.73205080757 1.5273280840353855e-03
55 1.73205080757 1.6263379733738059e-03
57 1.73205080757 1.7060738065560069e-03
59 1.73205080757 1.7534967353548794e-03

2 3.46410161514 1.7027168825038974e-03
4 3.46410161514 1.6634919501402267e-03
6 3.46410161514 1.5973074835010487e-03
8 3.46410161514 1.5175416064827497e-03
10 3.46410161514 1.4395577605904671e-03
12 3.46410161514 1.3779595893317308e-03
14 3.46410161514 1.3440767938565060e-03
16 3.46410161514 1.3440767938565077e-03
18 3.46410161514 1.3779595893317366e-03
20 3.46410161514 1.4395577605904742e-03
22 3.46410161514 1.5175416064827571e-03
24 3.46410161514 1.5973074835010518e-03
26 3.46410161514 1.6634919501402224e-03
28 3.46410161514 1.7027168825038943e-03
30 3.46410161514 1.7060738065560069e-03
32 3.46410161514 1.6708532066940787e-03
34 3.46410161514 1.6011481116510046e-03
36 3.46410161514 1.5071939880193443e-03
38 3.46410161514 1.4035833977140083e-03
40 3.46410161514 1.3067278181068025e-03
42 3.46410161514 1.2320639895626593e-03
44 3.46410161514 1.1915001862018424e-03
46 3.46410161514 1.1915001862018457e-03
48 3.46410161514 1.2320639895626623e-03
50 3.46410161514 1.3067278181068029e-03
52 3.46410161514 1.4035833977140107e-03
54 3.46410161514 1.5071939880193449e-03
56 3.46410161514 1.6011481116510044e-03
58 3.46410161514 1.6708532066940795e-03
60 3.46410161514 1.7060738065560073e-03

3 5.19615242271 1.6166453486646058e-03
5 5.19615242271 1.5770544785003264e-03
7 5.19615242271 1.5175416064827554e-03
