# n1 n2 x y probability Jx Jy Jmag
-4.500000000000000000e+01 -4.500000000000000000e+01 -6.750000000000000000e+01 -3.897114317029974018e+01 3.968852083693543821e-12 -2.026303810097777976e-12 1.168529168949646377e-12 2.339095455406410678e-12
-4.500000000000000000e+01 -4.400000000000000000e+01 -6.700000000000000000e+01 -3.810511776651529914e+01 2.352442407095140687e-12 -9.727127705941304982e-13 6.751861251422498808e-13 1.184080418578702506e-12
-4.500000000000000000e+01 -4.300000000000000000e+01 -6.650000000000000000e+01 -3.723909236273085810e+01 1.412585527187048559e-12 -3.271071923219787986e-13 3.308773572208866724e-13 4.652729744894347792e-13
-4.500000000000000000e+01 -4.200000000000000000e+01 -6.600000000000000000e+01 -3.637306695894642417e+01 9.576063329157558587e-13 3.246147444867479502e-14 1.424563647347550225e-13 1.461080530868285808e-13
-4.500000000000000000e+01 -4.100000000000000000e+01 -6.550000000000000000e+01 -3.550704155516198313e+01 7.749158135102673273e-13 2.333033276414310198e-13 5.347093523555009279e-14 2.393524255225530467e-13
-4.500000000000000000e+01 -4.000000000000000000e+01 -6.500000000000000000e+01 -3.464101615137754209e+01 7.305887827763213234e-13 3.544817813340817566e-13 1.885430429000234088e-14 3.549828419628809756e-13
-4.500000000000000000e+01 -3.900000000000000000e+01 -6.450000000000000000e+01 -3.377499074759310815e+01 7.529624172092881983e-13 4.379805082717050540e-13 1.188498743533154990e-14 4.381417334063020634e-13
-4.500000000000000000e+01 -3.800000000000000000e+01 -6.400000000000000000e+01 -3.290896534380866711e+01 8.065049107638317585e-13 5.044598517510355030e-13 1.844861117726404777e-14 5.047970812941043788e-13
-4.500000000000000000e+01 -3.700000000000000000e+01 -6.350000000000000000e+01 -3.204293994002422608e+01 8.743562387111463734e-13 5.636043903901212489e-13 3.153852617246139358e-14 5.644861269332942982e-13
-4.500000000000000000e+01 -3.600000000000000000e+01 -6.300000000000000000e+01 -3.117691453623978859e+01 9.487327976264477810e-13 6.197736197178037021e-13 4.781118316232924300e-14 6.216150327441338466e-13
-4.500000000000000000e+01 -3.500000000000000000e+01 -6.250000000000000000e+01 -3.031088913245535110e+01 1.026089976882553728e-12 6.748423724365898373e-13 6.571214063197766125e-14 6.780341533155109073e-13
-4.500000000000000000e+01 -3.400000000000000000e+01 -6.200000000000000000e+01 -2.944486372867091362e+01 1.104802821518753557e-12 7.295608652635821198e-13 8.452758775138225568e-14 7.344412632846920548e-13
-4.500000000000000000e+01 -3.300000000000000000e+01 -6.150000000000000000e+01 -2.857883832488647258e+01 1.184092992092594976e-12 7.841827417519136915e-13 1.039262624662583423e-13 7.910393419367675450e-13
-4.500000000000000000e+01 -3.200000000000000000e+01 -6.100000000000000000e+01 -2.771281292110203509e+01 1.263547145782679397e-12 8.387473790923224331e-13 1.237461444577934421e-13 8.478267949306680485e-13
-4.500000000000000000e+01 -3.100000000000000000e+01 -6.050000000000000000e+01 -2.684678751731759760e+01 1.342905603405429340e-12 8.932037426168193195e-13 1.438983053916113477e-13 9.047207569848669114e-13
-4.500000000000000000e+01 -3.000000000000000000e+01 -6.000000000000000000e+01 -2.598076211353315657e+01 1.421972270710397600e-12 9.474630840988419833e-13 1.643244467532745647e-13 9.616074144529351568e-13
-4.500000000000000000e+01 -2.900000000000000000e+01 -5.950000000000000000e+01 -2.511473670974871908e+01 1.500576681046255637e-12 1.001421400716098282e-12 1.849787109630072920e-13 1.018362384086199439e-12
-4.500000000000000000e+01 -2.800000000000000000e+01 -5.900000000000000000e+01 -2.424871130596428159e+01 1.578558684664693391e-12 1.054968557662784371e-12 2.058200802297177710e-13 1.074858392107008275e-12
-4.500000000000000000e+01 -2.700000000000000000e+01 -5.850000000000000000e+01 -2.338268590217984055e+01 1.655762500153746980e-12 1.107992275693554702e-12 2.268093140127666267e-13 1.130968323128249226e-12
-4.500000000000000000e+01 -2.600000000000000000e+01 -5.800000000000000000e+01 -2.251666049839540307e+01 1.732033948651865541e-12 1.160379384335552913e-12 2.479076880057702341e-13 1.186565858839416906e-12
-4.500000000000000000e+01 -2.500000000000000000e+01 -5.750000000000000000e+01 -2.165063509461096558e+01 1.807220282657682081e-12 1.212016817721021549e-12 2.690764469738218998e-13 1.241526037082850754e-12
-4.500000000000000000e+01 -2.400000000000000000e+01 -5.700000000000000000e+01 -2.078460969082652809e+01 1.881169477041488063e-12 1.262791795327363493e-12 2.902768827416493542e-13 1.295725197331716312e-12
-4.500000000000000000e+01 -2.300000000000000000e+01 -5.650000000000000000e+01 -1.991858428704208706e+01 1.953730405213683277e-12 1.312592150874691792e-12 3.114700152869125363e-13 1.349041039020192033e-12
-4.500000000000000000e+01 -2.200000000000000000e+01 -5.600000000000000000e+01 -1.905255888325764957e+01 2.024753046889335986e-12 1.361306175967711647e-12 3.326167854089813819e-13 1.401352357782880612e-12
-4.500000000000000000e+01 -2.100000000000000000e+01 -5.550000000000000000e+01 -1.818653347947321208e+01 2.094088461402456472e-12 1.408823252756975722e-12 3.536780023658562266e-13 1.452539530224994702e-12
-4.500000000000000000e+01 -2.000000000000000000e+01 -5.500000000000000000e+01 -1.732050807568877104e+01 2.161589181823631593e-12 1.455033560147659440e-12 3.746144369341288359e-13 1.502484155495640010e-12
-4.500000000000000000e+01 -1.900000000000000000e+01 -5.450000000000000000e+01 -1.645448267190433356e+01 2.227109060110463883e-12 1.499828426381410385e-12 3.953867841412206099e-13 1.551069314265250260e-12
-4.500000000000000000e+01 -1.800000000000000000e+01 -5.400000000000000000e+01 -1.558845726811989429e+01 2.290503813616251322e-12 1.543100304938575148e-12 4.159557644481956344e-13 1.598179510905832606e-12
-4.500000000000000000e+01 -1.700000000000000000e+01 -5.350000000000000000e+01 -1.472243186433545681e+01 2.351630931766286799e-12 1.584743064338424382e-12 4.362820827563509514e-13 1.643700896058330565e-12
-4.500000000000000000e+01 -1.600000000000000000e+01 -5.300000000000000000e+01 -1.385640646055101755e+01 2.410349801233389714e-12 1.624651969015537977e-12 4.563264800679130863e-13 1.687521222633136539e-12
-4.500000000000000000e+01 -1.500000000000000000e+01 -5.250000000000000000e+01 -1.299038105676657828e+01 2.466522403658714813e-12 1.662723571785079600e-12 4.760495098494846082e-13 1.729529650511279208e-12
-4.500000000000000000e+01 -1.400000000000000000e+01 -5.200000000000000000e+01 -1.212435565298214080e+01 2.520013528060533832e-12 1.698856092862476259e-12 4.954111728267641671e-13 1.769616979579917053e-12
-4.500000000000000000e+01 -1.300000000000000000e+01 -5.150000000000000000e+01 -1.125833024919770153e+01 2.570692121089646472e-12 1.732948366598352441e-12 5.143700164869987037e-13 1.807674349864137803e-12
-4.500000000000000000e+01 -1.200000000000000000e+01 -5.100000000000000000e+01 -1.039230484541326405e+01 2.618433927118462889e-12 1.764898835497156446e-12 5.328802318923892306e-13 1.843591397539299058e-12
-4.500000000000000000e+01 -1.100000000000000000e+01 -5.050000000000000000e+01 -9.526279441628824785e+00 2.663128324571194927e-12 1.794601740376500830e-12 5.508847728821371267e-13 1.877250499948200832e-12
-4.500000000000000000e+01 -1.000000000000000000e+01 -5.000000000000000000e+01 -8.660254037844385522e+00 2.704693791669830418e-12 1.821937459414384033e-12 5.682984677224795514e-13 1.908512314456749493e-12
-4.500000000000000000e+01 -9.000000000000000000e+00 -4.950000000000000000e+01 -7.794228634059947147e+00 2.743114765419479379e-12 1.846748702710547718e-12 5.849671435547259497e-13 1.937180252325958953e-12
-4.500000000000000000e+01 -8.000000000000000000e+00 -4.900000000000000000e+01 -6.928203230275508773e+00 2.778526312786059662e-12 1.868781795060042110e-12 6.005706845523148540e-13 1.962913789419053699e-12
-4.500000000000000000e+01 -7.000000000000000000e+00 -4.850000000000000000e+01 -6.062177826491070398e+00 2.811404882511716710e-12 1.887546508846795978e-12 6.143998569391742365e-13 1.985023679271007000e-12
-4.500000000000000000e+01 -6.000000000000000000e+00 -4.800000000000000000e+01 -5.196152422706632024e+00 2.842983484918966735e-12 1.901983497681679255e-12 6.248505639466082608e-13 2.001993869300760163e-12
-4.500000000000000000e+01 -5.000000000000000000e+00 -4.750000000000000000e+01 -4.330127018922192761e+00 2.876125903990047291e-12 1.909690947977893841e-12 6.283118676689139598e-13 2.010396806563894414e-12
-4.500000000000000000e+01 -4.000000000000000000e+00 -4.700000000000000000e+01 -3.464101615137754386e+00 2.917070361184721854e-12 1.905145926963245618e-12 6.167878646381587062e-13 2.002500505115927392e-12
-4.500000000000000000e+01 -3.000000000000000000e+00 -4.650000000000000000e+01 -2.598076211353316012e+00 2.978605564775111232e-12 1.875642743553954602e-12 5.730193057593681183e-13 1.961220748977420613e-12
-4.500000000000000000e+01 -2.000000000000000000e+00 -4.600000000000000000e+01 -1.732050807568877193e+00 3.084647636392108333e-12 1.791985993848568012e-12 4.610806628939583670e-13 1.850353798559662730e-12
-4.500000000000000000e+01 -1.000000000000000000e+00 -4.550000000000000000e+01 -8.660254037844385966e-01 3.271414586086995693e-12 1.586739234077088584e-12 2.102893349316017008e-13 1.600613320369889119e-12
-4.500000000000000000e+01 0.000000000000000000e+00 -4.500000000000000000e+01 0.000000000000000000e+00 2.132528361157491304e-11 1.292205774548719125e-11 3.768610475405103935e-12 1.346038637235345390e-11
-4.500000000000000000e+01 1.000000000000000000e+00 -4.450000000000000000e+01 8.660254037844385966e-01 7.124234822817528166e-12 -6.995672279435949419e-13 1.638915541838289578e-12 1.781975998629549496e-12
-4.500000000000000000e+01 2.000000000000000000e+00 -4.400000000000000000e+01 1.732050807568877193e+00 5.509335033434832988e-12 -1.573904071743316740e-12 2.970786187687700859e-13 1.601695892727377756e-12
-4.500000000000000000e+01 3.000000000000000000e+00 -4.350000000000000000e+01 2.598076211353316012e+00 4.694428116758233242e-12 -2.042487909103722138e-12 -4.599481738473865524e-13 2.093635398406427385e-12
-4.500000000000000000e+01 4.000000000000000000e+00 -4.300000000000000000e+01 3.464101615137754386e+00 4.375092152134492839e-12 -2.328769098574554009e-12 -8.671999994882170143e-13 2.484995242166089980e-12
-4.500000000000000000e+01 5.000000000000000000e+00 -4.250000000000000000e+01 4.330127018922192761e+00 4.317465472630808508e-12 -2.529742634833799775e-12 -1.085043344762183213e-12 2.752619998929849257e-12
-4.500000000000000000e+01 6.000000000000000000e+00 -4.200000000000000000e+01 5.196152422706632024e+00 4.386090252781325023e-12 -2.688827890149073737e-12 -1.205720074769131063e-12 2.946787457816528370e-12
-4.500000000000000000e+01 7.000000000000000000e+00 -4.150000000000000000e+01 6.062177826491070398e+00 4.510480853080427536e-12 -2.825729011072040039e-12 -1.277891773837847929e-12 3.101250043072407573e-12
-4.500000000000000000e+01 8.000000000000000000e+00 -4.100000000000000000e+01 6.928203230275508773e+00 4.655954479560641653e-12 -2.949346136513714691e-12 -1.325868850135561924e-12 3.233662140782208038e-12
-4.500000000000000000e+01 9.000000000000000000e+00 -4.050000000000000000e+01 7.794228634059947147e+00 4.806019315929663445e-12 -3.063611329387310702e-12 -1.361320094321848732e-12 3.352447878305452808e-12
-4.500000000000000000e+01 1.000000000000000000e+01 -4.000000000000000000e+01 8.660254037844385522e+00 4.952995707685051879e-12 -3.170185318943238124e-12 -1.389662698952741787e-12 3.461392403831709239e-12
-4.500000000000000000e+01 1.100000000000000000e+01 -3.950000000000000000e+01 9.526279441628824785e+00 5.093330830488948946e-12 -3.269705865578601696e-12 -1.413336628164628016e-12 3.562091642828812978e-12
-4.500000000000000000e+01 1.200000000000000000e+01 -3.900000000000000000e+01 1.039230484541326405e+01 5.225355231066866469e-12 -3.362360543103603925e-12 -1.433407249053657998e-12 3.655150443341496253e-12
-4.500000000000000000e+01 1.300000000000000000e+01 -3.850000000000000000e+01 1.125833024919770153e+01 5.348242531648908139e-12 -3.448146228083791368e-12 -1.450324087129393965e-12 3.740742221532538182e-12
-4.500000000000000000e+01 1.400000000000000000e+01 -3.800000000000000000e+01 1.212435565298214080e+01 5.461540586061737394e-12 -3.526983323592786734e-12 -1.464267865840024206e-12 3.818860006315146481e-12
