# n1 n2 x y probability Jx Jy Jmag
-4.500000000000000000e+01 -4.500000000000000000e+01 -6.750000000000000000e+01 -3.897114317029974018e+01 5.696268717653720115e-12 1.556147996486412261e-13 1.322495418977327903e-12 1.331619352174526123e-12
-4.500000000000000000e+01 -4.400000000000000000e+01 -6.700000000000000000e+01 -3.810511776651529914e+01 4.587649121588007246e-12 1.101971608817800576e-12 9.613680933456101417e-13 1.462385051053061668e-12
-4.500000000000000000e+01 -4.300000000000000000e+01 -6.650000000000000000e+01 -3.723909236273085810e+01 4.067587200776809875e-12 1.665296882893005061e-12 7.655991776910001020e-13 1.832854552072884739e-12
-4.500000000000000000e+01 -4.200000000000000000e+01 -6.600000000000000000e+01 -3.637306695894642417e+01 3.890018709256231910e-12 2.004497776925839761e-12 6.853858587741027659e-13 2.118434590235947651e-12
-4.500000000000000000e+01 -4.100000000000000000e+01 -6.550000000000000000e+01 -3.550704155516198313e+01 3.888457047787951108e-12 2.224777554081312714e-12 6.707819976853173533e-13 2.323700422507758257e-12
-4.500000000000000000e+01 -4.000000000000000000e+01 -6.500000000000000000e+01 -3.464101615137754209e+01 3.969908780080399630e-12 2.384099871311401960e-12 6.898022757879613763e-13 2.481886253652510401e-12
-4.500000000000000000e+01 -3.900000000000000000e+01 -6.450000000000000000e+01 -3.377499074759310815e+01 4.086632036153023908e-12 2.511828179785376732e-12 7.247116754658761650e-13 2.614285335865325002e-12
-4.500000000000000000e+01 -3.800000000000000000e+01 -6.400000000000000000e+01 -3.290896534380866711e+01 4.215243019068492047e-12 2.622088761208906249e-12 7.663484616077217092e-13 2.731783197156498111e-12
-4.500000000000000000e+01 -3.700000000000000000e+01 -6.350000000000000000e+01 -3.204293994002422608e+01 4.344616843760121770e-12 2.721401288058413185e-12 8.101733073453424902e-13 2.839437577863066858e-12
-4.500000000000000000e+01 -3.600000000000000000e+01 -6.300000000000000000e+01 -3.117691453623978859e+01 4.469543448990665906e-12 2.812643847885302889e-12 8.539921181289175061e-13 2.939433270695791127e-12
-4.500000000000000000e+01 -3.500000000000000000e+01 -6.250000000000000000e+01 -3.031088913245535110e+01 4.587581535277566639e-12 2.897008520672741495e-12 8.967526545788042654e-13 3.032626533608218408e-12
-4.500000000000000000e+01 -3.400000000000000000e+01 -6.200000000000000000e+01 -2.944486372867091362e+01 4.697555422796619265e-12 2.974930105141000798e-12 9.379415073271484959e-13 3.119285719782875028e-12
-4.500000000000000000e+01 -3.300000000000000000e+01 -6.150000000000000000e+01 -2.857883832488647258e+01 4.798860263068625038e-12 3.046515063710383144e-12 9.772936129537059752e-13 3.199430705505963594e-12
-4.500000000000000000e+01 -3.200000000000000000e+01 -6.100000000000000000e+01 -2.771281292110203509e+01 4.891147645290740080e-12 3.111734534166621574e-12 1.014656505898094267e-12 3.272983292973933068e-12
-4.500000000000000000e+01 -3.100000000000000000e+01 -6.050000000000000000e+01 -2.684678751731759760e+01 4.974187707132221567e-12 3.170509054077042624e-12 1.049928950265497865e-12 3.339832100958087516e-12
-4.500000000000000000e+01 -3.000000000000000000e+01 -6.000000000000000000e+01 -2.598076211353315657e+01 5.047809496555608812e-12 3.222745476583730167e-12 1.083033675795812758e-12 3.399860342683017397e-12
-4.500000000000000000e+01 -2.900000000000000000e+01 -5.950000000000000000e+01 -2.511473670974871908e+01 5.111875773157380272e-12 3.268352057794390308e-12 1.113905526972672167e-12 3.452956804929521904e-12
-4.500000000000000000e+01 -2.800000000000000000e+01 -5.900000000000000000e+01 -2.424871130596428159e+01 5.166273101874044452e-12 3.307245360758072152e-12 1.142486704348300088e-12 3.499020969623993181e-12
-4.500000000000000000e+01 -2.700000000000000000e+01 -5.850000000000000000e+01 -2.338268590217984055e+01 5.210907139930963076e-12 3.339352529919916143e-12 1.168724560991775599e-12 3.537964445630843461e-12
-4.500000000000000000e+01 -2.600000000000000000e+01 -5.800000000000000000e+01 -2.251666049839540307e+01 5.245701520275810594e-12 3.364612674771527371e-12 1.192570918098192544e-12 3.569712011623175317e-12
-4.500000000000000000e+01 -2.500000000000000000e+01 -5.750000000000000000e+01 -2.165063509461096558e+01 5.270596959136831498e-12 3.382977150844190080e-12 1.213981727128043122e-12 3.594201724574548819e-12
-4.500000000000000000e+01 -2.400000000000000000e+01 -5.700000000000000000e+01 -2.078460969082652809e+01 5.285551168077214081e-12 3.394409874920962450e-12 1.232917022639014547e-12 3.611385161357619204e-12
-4.500000000000000000e+01 -2.300000000000000000e+01 -5.650000000000000000e+01 -1.991858428704208706e+01 5.290538772380926756e-12 3.398887440940309200e-12 1.249340824093187580e-12 3.621227461915035540e-12
-4.500000000000000000e+01 -2.200000000000000000e+01 -5.600000000000000000e+01 -1.905255888325764957e+01 5.285551286745700711e-12 3.396398988149966222e-12 1.263221243882490115e-12 3.623707217436604729e-12
-4.500000000000000000e+01 -2.100000000000000000e+01 -5.550000000000000000e+01 -1.818653347947321208e+01 5.270597178634970646e-12 3.386946473253754081e-12 1.274530523033615103e-12 3.618816721917591672e-12
-4.500000000000000000e+01 -2.000000000000000000e+01 -5.500000000000000000e+01 -1.732050807568877104e+01 5.245701797064667184e-12 3.370544443997973071e-12 1.283244880498908375e-12 3.606561696726157778e-12
-4.500000000000000000e+01 -1.900000000000000000e+01 -5.450000000000000000e+01 -1.645448267190433356e+01 5.210907457014348816e-12 3.347220203422318888e-12 1.289344705215282203e-12 3.586961507887314112e-12
-4.500000000000000000e+01 -1.800000000000000000e+01 -5.400000000000000000e+01 -1.558845726811989429e+01 5.166273392442938409e-12 3.317013626655206876e-12 1.292814418860179960e-12 3.560048949246219713e-12
-4.500000000000000000e+01 -1.700000000000000000e+01 -5.350000000000000000e+01 -1.472243186433545681e+01 5.111876096484607195e-12 3.279977079118683178e-12 1.293642331078288797e-12 3.525870122438090651e-12
-4.500000000000000000e+01 -1.600000000000000000e+01 -5.300000000000000000e+01 -1.385640646055101755e+01 5.047809699098831458e-12 3.236175403776998180e-12 1.291820013513342547e-12 3.484484207357644031e-12
-4.500000000000000000e+01 -1.500000000000000000e+01 -5.250000000000000000e+01 -1.299038105676657828e+01 4.974187866485888740e-12 3.185685144329560131e-12 1.287341224317177294e-12 3.435962349419518711e-12
-4.500000000000000000e+01 -1.400000000000000000e+01 -5.200000000000000000e+01 -1.212435565298214080e+01 4.891147692953765046e-12 3.128593932696151775e-12 1.280198662807388649e-12 3.380385867317072901e-12
-4.500000000000000000e+01 -1.300000000000000000e+01 -5.150000000000000000e+01 -1.125833024919770153e+01 4.798860183643256377e-12 3.064997934981738277e-12 1.270375989145277779e-12 3.317840788108911537e-12
-4.500000000000000000e+01 -1.200000000000000000e+01 -5.100000000000000000e+01 -1.039230484541326405e+01 4.697555215896038565e-12 2.994996279902196166e-12 1.257829566572742949e-12 3.248405445010300423e-12
-4.500000000000000000e+01 -1.100000000000000000e+01 -5.050000000000000000e+01 -9.526279441628824785e+00 4.587581213365905852e-12 2.918678470166741845e-12 1.242445054873124948e-12 3.172121329109836347e-12
-4.500000000000000000e+01 -1.000000000000000000e+01 -5.000000000000000000e+01 -8.660254037844385522e+00 4.469543130477068730e-12 2.836094331555544444e-12 1.223937984910578929e-12 3.088924610343939563e-12
-4.500000000000000000e+01 -9.000000000000000000e+00 -4.950000000000000000e+01 -7.794228634059947147e+00 4.344616479128216609e-12 2.747186331017302373e-12 1.201632601663905394e-12 2.998491895388392118e-12
-4.500000000000000000e+01 -8.000000000000000000e+00 -4.900000000000000000e+01 -6.928203230275508773e+00 4.215242728556325394e-12 2.651636843042369800e-12 1.173979654042825263e-12 2.899897614655768818e-12
-4.500000000000000000e+01 -7.000000000000000000e+00 -4.850000000000000000e+01 -6.062177826491070398e+00 4.086631705089658160e-12 2.548530670770326879e-12 1.137537740868273521e-12 2.790878121981815901e-12
