# n1 n2 x y probability
-4.500000000000000000e+01 -4.500000000000000000e+01 -6.750000000000000000e+01 -3.897114317029974018e+01 3.697684284819945017e-11
-4.500000000000000000e+01 -4.400000000000000000e+01 -6.700000000000000000e+01 -3.810511776651529914e+01 3.718941367715469045e-11
-4.500000000000000000e+01 -4.300000000000000000e+01 -6.650000000000000000e+01 -3.723909236273085810e+01 4.120580237810380474e-11
-4.500000000000000000e+01 -4.200000000000000000e+01 -6.600000000000000000e+01 -3.637306695894642417e+01 4.883101644480958831e-11
-4.500000000000000000e+01 -4.100000000000000000e+01 -6.550000000000000000e+01 -3.550704155516198313e+01 5.955235754923562322e-11
-4.500000000000000000e+01 -4.000000000000000000e+01 -6.500000000000000000e+01 -3.464101615137754209e+01 7.288950574659394857e-11
-4.500000000000000000e+01 -3.900000000000000000e+01 -6.450000000000000000e+01 -3.377499074759310815e+01 8.846755273400533536e-11
-4.500000000000000000e+01 -3.800000000000000000e+01 -6.400000000000000000e+01 -3.290896534380866711e+01 1.059990556014425577e-10
-4.500000000000000000e+01 -3.700000000000000000e+01 -6.350000000000000000e+01 -3.204293994002422608e+01 1.252459894134855760e-10
-4.500000000000000000e+01 -3.600000000000000000e+01 -6.300000000000000000e+01 -3.117691453623978859e+01 1.459862551831727307e-10
-4.500000000000000000e+01 -3.500000000000000000e+01 -6.250000000000000000e+01 -3.031088913245535110e+01 1.679908121446172110e-10
-4.500000000000000000e+01 -3.400000000000000000e+01 -6.200000000000000000e+01 -2.944486372867091362e+01 1.910107160222448717e-10
-4.500000000000000000e+01 -3.300000000000000000e+01 -6.150000000000000000e+01 -2.857883832488647258e+01 2.147715715868642309e-10
-4.500000000000000000e+01 -3.200000000000000000e+01 -6.100000000000000000e+01 -2.771281292110203509e+01 2.389730162254041182e-10
-4.500000000000000000e+01 -3.100000000000000000e+01 -6.050000000000000000e+01 -2.684678751731759760e+01 2.632914694535748383e-10
-4.500000000000000000e+01 -3.000000000000000000e+01 -6.000000000000000000e+01 -2.598076211353315657e+01 2.873849731580124240e-10
-4.500000000000000000e+01 -2.900000000000000000e+01 -5.950000000000000000e+01 -2.511473670974871908e+01 3.108993700947568659e-10
-4.500000000000000000e+01 -2.800000000000000000e+01 -5.900000000000000000e+01 -2.424871130596428159e+01 3.334753280244459394e-10
-4.500000000000000000e+01 -2.700000000000000000e+01 -5.850000000000000000e+01 -2.338268590217984055e+01 3.547558593656848055e-10
-4.500000000000000000e+01 -2.600000000000000000e+01 -5.800000000000000000e+01 -2.251666049839540307e+01 3.743940627227188856e-10
-4.500000000000000000e+01 -2.500000000000000000e+01 -5.750000000000000000e+01 -2.165063509461096558e+01 3.920608478077131420e-10
-4.500000000000000000e+01 -2.400000000000000000e+01 -5.700000000000000000e+01 -2.078460969082652809e+01 4.074524263916459968e-10
-4.500000000000000000e+01 -2.300000000000000000e+01 -5.650000000000000000e+01 -1.991858428704208706e+01 4.202973645173381831e-10
-4.500000000000000000e+01 -2.200000000000000000e+01 -5.600000000000000000e+01 -1.905255888325764957e+01 4.303630053303876176e-10
-4.500000000000000000e+01 -2.100000000000000000e+01 -5.550000000000000000e+01 -1.818653347947321208e+01 4.374610888374925195e-10
-4.500000000000000000e+01 -2.000000000000000000e+01 -5.500000000000000000e+01 -1.732050807568877104e+01 4.414524137815970946e-10
-4.500000000000000000e+01 -1.900000000000000000e+01 -5.450000000000000000e+01 -1.645448267190433356e+01 4.422504124502488345e-10
-4.500000000000000000e+01 -1.800000000000000000e+01 -5.400000000000000000e+01 -1.558845726811989429e+01 4.398235347352781816e-10
-4.500000000000000000e+01 -1.700000000000000000e+01 -5.350000000000000000e+01 -1.472243186433545681e+01 4.341963714304169333e-10
-4.500000000000000000e+01 -1.600000000000000000e+01 -5.300000000000000000e+01 -1.385640646055101755e+01 4.254494768814049865e-10
-4.500000000000000000e+01 -1.500000000000000000e+01 -5.250000000000000000e+01 -1.299038105676657828e+01 4.137178875792863401e-10
-4.500000000000000000e+01 -1.400000000000000000e+01 -5.200000000000000000e+01 -1.212435565298214080e+01 3.991883693494567465e-10
-4.500000000000000000e+01 -1.300000000000000000e+01 -5.150000000000000000e+01 -1.125833024919770153e+01 3.820954632056044547e-10
-4.500000000000000000e+01 -1.200000000000000000e+01 -5.100000000000000000e+01 -1.039230484541326405e+01 3.627164425718400549e-10
