# x  P_kmc  P_full_original_buggy  P_old_c3_sign  P_corrected_theory
-1 5.7500000000000000e-06 5.8880698442514545e-04 5.1011296122953202e-06 5.8874311219069769e-06
0 4.8999999999999997e-06 5.6345860250583599e-04 4.7717647228335638e-06 5.2091857090246399e-06
1 7.2500000000000000e-06 5.5780374124122655e-04 5.6633712074893412e-06 5.8874311219032144e-06
2 8.1499999999999999e-06 5.6996211542852246e-04 7.9428282462871211e-06 8.0209224270678337e-06
3 1.0849999999999999e-05 5.9533909817828176e-04 1.1961331660918414e-05 1.1904759262872670e-05
4 1.9049999999999999e-05 6.2742452052259672e-04 1.8262463784864231e-05 1.8025367567135340e-05
5 2.6599999999999999e-05 6.5887502857459610e-04 2.7582910418095765e-05 2.7047508011932932e-05
6 4.0099999999999999e-05 6.8270366050513095e-04 4.0840721340399090e-05 3.9787835235687264e-05
7 5.9650000000000000e-05 6.9336411679746224e-04 5.9105692731878381e-05 5.7169932719045148e-05
8 7.8250000000000005e-05 6.8752229372575908e-04 8.3547260164552626e-05 8.0157911174473626e-05
9 1.0745000000000000e-04 6.6436891706353409e-04 1.1535670977274452e-04 1.0966893770230673e-04
10 1.4540000000000001e-04 6.2543659422984051e-04 1.5564172677288638e-04 1.4646826210495189e-04
11 1.9589999999999999e-04 5.7400953466034876e-04 2.0529178354705956e-04 1.9105217177935402e-04
12 2.4335000000000001e-04 5.1431049786003057e-04 2.6481319818319959e-04 2.4352435610828295e-04
13 2.9779999999999997e-04 4.5068319802863874e-04 3.3413505838816404e-04 3.0347046506938591e-04
14 3.6275000000000001e-04 3.8695193819253046e-04 4.1239495560146402e-04 3.6983689715693188e-04
15 4.4075000000000001e-04 3.2605493930826647e-04 4.9772923082638462e-04 4.4082615518311322e-04
16 5.2205000000000003e-04 2.6995139722055527e-04 5.8711513557027845e-04 5.1383356454870032e-04
17 5.9464999999999995e-04 2.1973018195473352e-04 6.7633473984898189e-04 5.8546531903282475e-04
18 6.5580000000000000e-04 1.7581883722549014e-04 7.6013946548376368e-04 6.5168700320067494e-04
19 7.0730000000000001e-04 1.3820285383885108e-04 8.3267540162911913e-04 7.0814371020368888e-04
20 7.5299999999999998e-04 1.0660025997622912e-04 8.8817562317133891e-04 7.5065997488874350e-04
21 7.8364999999999999e-04 8.0575048454942485e-05 9.2184405668268514e-04 7.7587266423107578e-04
22 8.0294999999999997e-04 5.9600240448503426e-05 9.3077067513820742e-04 7.8188874905832232e-04
23 7.6855000000000001e-04 4.3092433517172173e-05 9.1466453994119032e-04 7.6881764270277314e-04
24 7.3114999999999996e-04 3.0437516390871348e-05 8.7619866831418515e-04 7.3902759315923067e-04
25 6.9070000000000004e-04 2.1018614255742683e-05 8.2083669119657700e-04 6.9702572533346982e-04
26 6.5085000000000002e-04 1.4248583931139885e-05 7.5613500922629313e-04 6.4894858148747449e-04
27 6.0360000000000003e-04 9.6040938095124532e-06 6.9064375253100909e-04 6.0174434239928739e-04
28 5.6519999999999997e-04 6.6571052699592637e-06 6.3262149144405623e-04 5.6219660568232607e-04
29 5.3520000000000000e-04 5.1010972392711666e-06 5.8880695205212332e-04 5.3596316719939255e-04
30 5.2194999999999997e-04 4.7717335170123734e-06 5.6345857130001302e-04 5.2678343059579672e-04
31 5.3514999999999997e-04 5.6633389688796568e-06 5.5780370900261416e-04 5.3596316719939222e-04
