# bias square_even square_odd triangular_even triangular_odd
-9.499999999999999556e-01 5.473830293417920601e-01 -1.883425852498017417e-01 6.227171077152442447e-01 -3.066433595211394136e-01
-9.309999999999999387e-01 5.507930348204433946e-01 -1.866922102785552040e-01 6.287716375191789719e-01 -3.053920759622397174e-01
-9.119999999999999218e-01 5.542108624207592316e-01 -1.849602043518215611e-01 6.348977218981552983e-01 -3.039980589805751920e-01
-8.930000000000000160e-01 5.576343525355140773e-01 -1.831449845428094192e-01 6.410926612713607753e-01 -3.024556886459321969e-01
-8.739999999999999991e-01 5.610612380867693316e-01 -1.812450147252243071e-01 6.473534353906491567e-01 -3.007592799938264561e-01
-8.549999999999999822e-01 5.644891438347547918e-01 -1.792588119858102291e-01 6.536766872676336160e-01 -2.989030975063660112e-01
-8.359999999999999654e-01 5.679155860362659070e-01 -1.771849532842120767e-01 6.600587072850045978e-01 -2.968813713133223731e-01
-8.169999999999999485e-01 5.713379724825012884e-01 -1.750220823454690378e-01 6.664954176341162384e-01 -2.946883151926893429e-01
-7.979999999999999316e-01 5.747536029463725660e-01 -1.727689167674701931e-01 6.729823572366866458e-01 -2.923181464422369702e-01
-7.789999999999999147e-01 5.781596700691428170e-01 -1.704242553225747969e-01 6.795146673245684443e-01 -2.897651076836555428e-01
-7.600000000000000089e-01 5.815532607158013789e-01 -1.679869854293394305e-01 6.860870778677086168e-01 -2.870234906486243132e-01
-7.409999999999999920e-01 5.849313578278011461e-01 -1.654560907669337944e-01 6.926938950564017761e-01 -2.840876619813725301e-01
-7.219999999999999751e-01 5.882908428006655699e-01 -1.628306590013870458e-01 6.993289900594048536e-01 -2.809520910748367073e-01
-7.029999999999999583e-01 5.916284984124751123e-01 -1.601098895893133256e-01 7.059857892940737401e-01 -2.776113799372364466e-01
-6.839999999999999414e-01 5.949410123273639606e-01 -1.572931016212779642e-01 7.126572664580144156e-01 -2.740602950627049061e-01
-6.650000000000000355e-01 5.982249811958508801e-01 -1.543797416634939412e-01 7.193359365833282837e-01 -2.702938012534327750e-01
-6.459999999999999076e-01 6.014769153711070349e-01 -1.513693915531567624e-01 7.260138523839152480e-01 -2.663070973116772322e-01
-6.270000000000000018e-01 6.046932442570908117e-01 -1.482617760994639766e-01 7.326826031729236632e-01 -2.620956534879722577e-01
-6.079999999999999849e-01 6.078703223008752321e-01 -1.450567706392880130e-01 7.393333166307560766e-01 -2.576552505371600965e-01
